sheet_name,column_name,dtype_detected,n_rows,n_nonnull,n_missing,n_unique,min_value,max_value,mean_value
Alternative_Scores,S25,float64,151,151,0,151,0.08462189733207569,0.6184876373017242,0.35307825673807797
Alternative_Scores,S26,float64,151,151,0,151,0.0521064399264003,0.6062526884944267,0.354326254020923
Alternative_Scores,S47,float64,151,151,0,151,0.1390423197581208,0.5524981563167781,0.35628658444304334
Alternative_Scores,S49,float64,151,151,0,151,0.03457849393279572,0.5733855983619398,0.3512437098165196
Alternative_Scores,S27,float64,151,151,0,151,0.07753554454721573,0.6172910361461751,0.3344430733637308
Alternative_Scores,S28,float64,151,151,0,151,0.0821509032385126,0.5642306018850385,0.3319483748618347
Alternative_Scores,S29,float64,151,151,0,151,0.05994378572712671,0.6612585960680385,0.3311830212949899
Alternative_Scores,S55,float64,151,151,0,151,0.1088925811837169,0.5690264457798001,0.3365661218980437
Entropy_Weights,SubCode,object,55,55,0,55,,,
Entropy_Weights,EntropyWeight,float64,55,55,0,55,0.01197054210483462,0.025573479815468,0.018181818181818184
WASPAS_Scores,Unnamed: 0,object,151,151,0,151,,,
WASPAS_Scores,Qi1,float64,151,151,0,151,0.4984365301743743,0.6956500389088185,0.5980381730579265
WASPAS_Scores,Qi2,float64,151,151,0,151,0.469064230149825,0.6776183400885952,0.5757569683277487
WASPAS_Scores,WASPAS,float64,151,151,0,151,0.4837503801620996,0.6866341894987069,0.5868975706928375
PROMETHEE_NetFlows,Unnamed: 0,object,151,151,0,151,,,
PROMETHEE_NetFlows,PROMETHEE_netflow,float64,151,151,0,151,-0.5084116928882438,0.4982549737784229,2.9409881447024014e-18
Method_Perf,Unnamed: 0,object,151,151,0,151,,,
Method_Perf,Entropy_perf,float64,151,151,0,151,0.469382793975923,0.6772852189567734,0.5886911609732925
Method_Perf,WASPAS,float64,151,151,0,151,0.4837503801620996,0.6866341894987069,0.5868975706928375
Method_Perf,PROMETHEE,float64,151,151,0,151,-0.5084116928882438,0.4982549737784229,2.9409881447024014e-18
Ranks_and_Borda,Unnamed: 0,int64,151,151,0,151,0.0,150.0,75.0
Ranks_and_Borda,Entropy_rank,int64,151,151,0,151,1.0,151.0,76.0
Ranks_and_Borda,WASPAS_rank,int64,151,151,0,151,1.0,151.0,76.0
Ranks_and_Borda,PROMETHEE_rank,int64,151,151,0,151,1.0,151.0,76.0
Ranks_and_Borda,Borda_sum,int64,151,151,0,133,0.0,450.0,225.0
Ranks_and_Borda,Borda_rank,float64,151,151,0,133,1.0,151.0,76.0
CSA_Integration,Unnamed: 0,object,151,151,0,151,,,
CSA_Integration,CSA_score,float64,151,151,0,151,0.1135584928865004,1.0,0.5683412436857778
CSA_Integration,CSA_rank,int64,151,151,0,151,1.0,151.0,76.0
CSA_Integration,Borda_rank,float64,151,25,126,25,5.0,151.0,62.36
Method_Reliability,Method,object,3,3,0,3,,,
Method_Reliability,RelWeight,float64,3,3,0,3,0.3196367027222334,0.3404780218431917,0.3333333333333333
RMSE,Method,object,3,3,0,3,,,
RMSE,RMSE,float64,3,3,0,3,0.3061124390496349,0.6073456476683949,0.41189276774968464
Spearman_vs_CSA,Method,object,3,3,0,3,,,
Spearman_vs_CSA,Spearman_vs_CSA,float64,3,3,0,3,0.8510421749738584,0.9973719065876612,0.9453189264552108
CSI,CSI,object,5,2,3,2,0.7909933774834437,0.7909933774834437,0.7909933774834437
CSI,Unnamed: 1,float64,5,0,5,0,,,
CSI,Unnamed: 2,float64,5,0,5,0,,,
CSI,Unnamed: 3,float64,5,0,5,0,,,
CSI,Unnamed: 4,float64,5,0,5,0,,,
CSI,Unnamed: 5,float64,5,0,5,0,,,
CSI,Unnamed: 6,float64,5,0,5,0,,,
CSI,Unnamed: 7,float64,5,0,5,0,,,
CSI,Unnamed: 8,float64,5,0,5,0,,,
CSI,Unnamed: 9,float64,5,0,5,0,,,
CSI,Unnamed: 10,float64,5,0,5,0,,,
CSI,Unnamed: 11,float64,5,0,5,0,,,
CSI,Unnamed: 12,float64,5,0,5,0,,,
CSI,Unnamed: 13,float64,5,0,5,0,,,
CSI,Unnamed: 14,object,5,2,3,2,,,
CSI,Unnamed: 15,object,5,2,3,2,0.791,0.791,0.791
Notes,__EMPTY_SHEET__,empty,0,0,0,0,,,
