alternative_id,entropy_score,waspas_score,promethee_score,entropy_rank,waspas_rank,promethee_rank,borda_rank,csa_score,csa_rank
A8,0.6478225532615325,0.6555900643831367,0.3666453080209736,,,,,0.8807942697107364,5
A80,0.5779285825935161,0.525365843802245,-0.3066170547324396,,,,,0.3232796606883945,141
A81,0.5109861896948795,0.5254381100943711,-0.3079003378765845,,,,,0.2908458466928742,145
A82,0.568649542263195,0.5706955859255773,0.07921150921774633,,,,,0.6049912928992989,61
A83,0.641564530581853,0.6151337615114056,0.1316613906444815,,,,,0.6972407899431361,33
A84,0.6123518135464319,0.6312915385867044,0.2070159999568771,,,,,0.7429452166004467,26
A85,0.5792173579382912,0.5725989897660528,-0.08376622441067269,,,,,0.4995514788508121,104
A86,0.6103157648385451,0.561624785648852,-0.06269983275510119,,,,,0.5231912772923205,95
A87,0.6084264235720317,0.6241939537342793,0.1664996247739126,,,,,0.7098928591427254,29
A88,0.5975291369208038,0.5687356650314844,-0.1056261722043157,,,,,0.4913433545123608,109
A89,0.5760120146534833,0.5547592643566517,-0.1997635071547508,,,,,0.4099423638620409,126
A9,0.5083833440434864,0.5505846505840417,-0.1906938235053427,,,,,0.382157061326287,129
A90,0.5384338972023323,0.5578913136823658,-0.1345265452022885,,,,,0.4383372757717544,122
A91,0.6003594954933354,0.6194595681713158,0.1469117306724325,,,,,0.6903570282633096,34
A92,0.6460096294297304,0.6318374270235332,0.2605680988020995,,,,,0.7956941798266496,13
A93,0.5947288574813374,0.6087980033680819,0.1190400744396602,,,,,0.6633763763128938,39
A94,0.5370780989001166,0.5415140409349262,-0.2539110339381567,,,,,0.3480103319591437,139
A95,0.5990999394822264,0.5840825140285744,0.01027439375042188,,,,,0.5788809981767484,71
A96,0.5397338057536804,0.5467629549857056,-0.2303161119284111,,,,,0.3679852601776431,133
A97,0.5408024298016127,0.5574501535512577,-0.1732276678132525,,,,,0.4127906399439064,124
A98,0.6688583844337399,0.6641440336006688,0.379769367260823,,,,,0.9039243185802881,4
A99,0.6128387395190604,0.5968080338537236,0.0384757770541436,,,,,0.6109351785526512,57
